id;user_id;place_id;first_checkin_at;last_checkin_at;count_checkins;created_at;deleted_at;visited_at;updated_at
6535;5752;93;04/10/2021 16:30;04/10/2021 16:30;1;04/10/2021 16:30;NULL;04/10/2021 16:30;04/10/2021 16:30
6536;27871;1036;04/10/2021 16:42;04/10/2021 16:42;1;04/10/2021 16:42;NULL;04/10/2021 16:42;04/10/2021 16:42
6537;24253;1036;04/10/2021 16:42;04/10/2021 16:42;1;04/10/2021 16:42;NULL;04/10/2021 16:42;04/10/2021 16:42
6538;8096;380;04/10/2021 16:59;04/10/2021 16:59;1;04/10/2021 16:59;NULL;04/10/2021 16:59;04/10/2021 16:59
6539;29374;6495;04/10/2021 17:18;04/10/2021 17:18;1;04/10/2021 17:18;NULL;04/10/2021 17:18;04/10/2021 17:18
6540;28498;2968;04/10/2021 17:34;04/10/2021 17:34;1;04/10/2021 17:34;NULL;04/10/2021 17:34;04/10/2021 17:34
6541;27166;2968;04/10/2021 17:39;04/10/2021 17:39;3;04/10/2021 17:39;NULL;04/10/2021 17:39;04/10/2021 17:39
6542;19273;2968;04/10/2021 17:39;04/10/2021 18:25;3;04/10/2021 17:41;NULL;04/10/2021 17:39;04/10/2021 18:25
6543;22088;60;04/10/2021 17:46;04/10/2021 17:46;2;04/10/2021 17:46;NULL;04/10/2021 17:46;04/10/2021 17:46
6544;29614;1847;04/10/2021 17:53;04/10/2021 17:53;2;04/10/2021 17:53;NULL;04/10/2021 17:53;04/10/2021 17:53
6545;20106;4017;04/10/2021 17:56;04/10/2021 17:56;1;04/10/2021 17:56;NULL;04/10/2021 17:56;04/10/2021 17:56
6546;19470;384;04/10/2021 17:57;04/10/2021 17:57;1;04/10/2021 17:57;NULL;04/10/2021 17:57;04/10/2021 17:57
6547;25734;380;04/10/2021 18:09;04/10/2021 18:26;3;04/10/2021 18:09;NULL;04/10/2021 18:09;04/10/2021 18:26
6548;19631;4;04/10/2021 18:21;04/10/2021 21:01;4;04/10/2021 18:21;NULL;04/10/2021 18:21;04/10/2021 21:01
6549;6577;380;04/10/2021 18:26;04/10/2021 18:26;1;04/10/2021 18:26;NULL;04/10/2021 18:26;04/10/2021 18:26
6550;29722;380;04/10/2021 18:53;04/10/2021 18:53;1;04/10/2021 18:53;NULL;04/10/2021 18:53;04/10/2021 18:53
6551;2958;380;04/10/2021 18:56;04/10/2021 18:56;1;04/10/2021 18:56;NULL;04/10/2021 18:56;04/10/2021 18:56
6552;27138;380;04/10/2021 19:45;04/10/2021 19:45;1;04/10/2021 19:45;NULL;04/10/2021 19:45;04/10/2021 19:45
6553;5811;380;04/10/2021 19:45;04/10/2021 20:39;2;04/10/2021 19:45;NULL;04/10/2021 19:45;04/10/2021 20:39
6554;28023;380;04/10/2021 19:45;04/10/2021 19:45;1;04/10/2021 19:45;NULL;04/10/2021 19:45;04/10/2021 19:45
6555;7370;380;04/10/2021 19:46;04/10/2021 19:46;1;04/10/2021 19:46;NULL;04/10/2021 19:46;04/10/2021 19:46
6556;28198;380;04/10/2021 20:26;04/10/2021 20:45;2;04/10/2021 20:26;NULL;04/10/2021 20:26;04/10/2021 20:45
6557;26083;380;04/10/2021 20:31;04/10/2021 20:31;1;04/10/2021 20:31;NULL;04/10/2021 20:31;04/10/2021 20:31
6558;13836;380;04/10/2021 20:32;04/10/2021 20:32;1;04/10/2021 20:32;NULL;04/10/2021 20:32;04/10/2021 20:32
6559;23169;186;04/10/2021 20:55;04/10/2021 20:55;1;04/10/2021 20:55;NULL;04/10/2021 20:55;04/10/2021 20:55
6560;27155;39;04/10/2021 21:10;04/10/2021 21:10;1;04/10/2021 21:10;NULL;04/10/2021 21:10;04/10/2021 21:10
6561;15658;380;04/10/2021 21:14;04/10/2021 21:15;2;04/10/2021 21:14;NULL;04/10/2021 21:14;04/10/2021 21:15
6562;13162;4;04/10/2021 22:18;04/10/2021 22:18;2;04/10/2021 22:18;NULL;04/10/2021 22:18;04/10/2021 22:18
6563;16490;4;04/10/2021 22:21;04/10/2021 22:21;2;04/10/2021 22:21;NULL;04/10/2021 22:21;04/10/2021 22:21
6564;27695;46;05/10/2021 12:09;05/10/2021 12:09;1;05/10/2021 12:09;NULL;05/10/2021 12:09;05/10/2021 12:09
6565;13175;380;05/10/2021 13:31;05/10/2021 13:31;1;05/10/2021 13:31;NULL;05/10/2021 13:31;05/10/2021 13:31
6566;2670;18;05/10/2021 14:02;05/10/2021 14:02;1;05/10/2021 14:02;NULL;05/10/2021 14:02;05/10/2021 14:02
6567;14436;6969;05/10/2021 14:20;05/10/2021 14:20;1;05/10/2021 14:20;NULL;05/10/2021 14:20;05/10/2021 14:20
6568;20374;91;05/10/2021 14:30;05/10/2021 14:30;1;05/10/2021 14:30;NULL;05/10/2021 14:30;05/10/2021 14:30
